text,priority,description,category
Call family to check in,Low,Call family to check in is planned for today.,Personal
Prepare presentation slides for the meeting,Medium,Prepare presentation slides for the meeting is planned for today.,Work
Clean the house,Low,Clean the house is planned for today.,Personal
Submit project report,High,Submit project report is planned for today.,Work
Doctor appointment,Medium,Doctor appointment is planned for today.,Health
Plan a weekend getaway,Low,Plan a weekend getaway is planned for today.,Personal
Medicine refill,Medium,Medicine refill is planned for today.,Health
Mental health therapy,Medium,Mental health therapy is planned for today.,Health
Prepare presentation slides for the meeting,Medium,Prepare presentation slides for the meeting is planned for today.,Work
Routine check-up,Medium,Routine check-up is planned for today.,Health
Fix critical bugs in the system,Medium,Fix critical bugs in the system is planned for today.,Work
Complete financial analysis,Medium,Complete financial analysis is planned for today.,Work
Attend project meeting,Medium,Attend project meeting is planned for today.,Work
Prepare presentation slides for the meeting,Medium,Prepare presentation slides for the meeting is planned for today.,Work
Eye test appointment,Medium,Eye test appointment is planned for today.,Health
Medicine refill,Medium,Medicine refill is planned for today.,Health
Mental health therapy,Medium,Mental health therapy is planned for today.,Health
Complete financial analysis,High,Complete financial analysis is planned for today.,Work
Complete financial analysis,High,Complete financial analysis is planned for today.,Work
Visit physical therapist,Medium,Visit physical therapist is planned for today.,Health
Mental health therapy,Medium,Mental health therapy is planned for today.,Health
Workout session,Low,Workout session is planned for today.,Personal
Prepare presentation slides for the meeting,High,Prepare presentation slides for the meeting is planned for today.,Work
Prepare presentation slides for the meeting,Medium,Prepare presentation slides for the meeting is planned for today.,Work
Routine check-up,Medium,Routine check-up is planned for today.,Health
Attend project meeting,Medium,Attend project meeting is planned for today.,Work
Doctor appointment,Medium,Doctor appointment is planned for today.,Health
Draft business proposal,Medium,Draft business proposal is planned for today.,Work
Watch a movie,Low,Watch a movie is planned for today.,Personal
Medicine refill,Medium,Medicine refill is planned for today.,Health
Complete financial analysis,High,Complete financial analysis is planned for today.,Work
Clean the house,Low,Clean the house is planned for today.,Personal
Medicine refill,Medium,Medicine refill is planned for today.,Health
Workout session,Low,Workout session is planned for today.,Personal
Call family to check in,Low,Call family to check in is planned for today.,Personal
Mental health therapy,Medium,Mental health therapy is planned for today.,Health
Mental health therapy,Medium,Mental health therapy is planned for today.,Health
Get flu shot,Medium,Get flu shot is planned for today.,Health
Fix the sink,Low,Fix the sink is planned for today.,Personal
Complete financial analysis,High,Complete financial analysis is planned for today.,Work
Clean the house,Low,Clean the house is planned for today.,Personal
Get flu shot,Medium,Get flu shot is planned for today.,Health
Plan a vacation,Low,Plan a vacation is planned for today.,Personal
Workout session,Low,Workout session is planned for today.,Personal
Consult with a specialist,Medium,Consult with a specialist is planned for today.,Health
Organize the home office,Low,Organize the home office is planned for today.,Personal
Reply to client emails,High,Reply to client emails is planned for today.,Work
Complete financial analysis,High,Complete financial analysis is planned for today.,Work
Attend conference call,High,Attend conference call is planned for today.,Work
Read a new book,Low,Read a new book is planned for today.,Personal
Attend project meeting,High,Attend project meeting is planned for today.,Work
Consult with a specialist,Medium,Consult with a specialist is planned for today.,Health
Attend project meeting,Medium,Attend project meeting is planned for today.,Work
Clean the house,Low,Clean the house is planned for today.,Personal
Take vitamins,Medium,Take vitamins is planned for today.,Health
Take vitamins,Medium,Take vitamins is planned for today.,Health
Consult with a specialist,Medium,Consult with a specialist is planned for today.,Health
Doctor appointment,Medium,Doctor appointment is planned for today.,Health
Call family to check in,Low,Call family to check in is planned for today.,Personal
Medicine refill,Medium,Medicine refill is planned for today.,Health
Watch a movie,Low,Watch a movie is planned for today.,Personal
Plan a vacation,Low,Plan a vacation is planned for today.,Personal
Call family to check in,Low,Call family to check in is planned for today.,Personal
Call family to check in,Low,Call family to check in is planned for today.,Personal
Dental check-up,Medium,Dental check-up is planned for today.,Health
Conduct performance review,Medium,Conduct performance review is planned for today.,Work
Update project documentation,Medium,Update project documentation is planned for today.,Work
Consult with a specialist,Medium,Consult with a specialist is planned for today.,Health
Conduct performance review,Medium,Conduct performance review is planned for today.,Work
Visit physical therapist,Medium,Visit physical therapist is planned for today.,Health
Dental check-up,Medium,Dental check-up is planned for today.,Health
Visit physical therapist,Medium,Visit physical therapist is planned for today.,Health
Doctor appointment,Medium,Doctor appointment is planned for today.,Health
Clean the house,Low,Clean the house is planned for today.,Personal
Dental check-up,Medium,Dental check-up is planned for today.,Health
Submit project report,High,Submit project report is planned for today.,Work
Reply to client emails,High,Reply to client emails is planned for today.,Work
Clean the house,Low,Clean the house is planned for today.,Personal
Buy groceries,Low,Buy groceries is planned for today.,Personal
Watch a movie,Low,Watch a movie is planned for today.,Personal
Submit project report,High,Submit project report is planned for today.,Work
Eye test appointment,Medium,Eye test appointment is planned for today.,Health
Conduct performance review,Medium,Conduct performance review is planned for today.,Work
Medicine refill,Medium,Medicine refill is planned for today.,Health
Fix the sink,Low,Fix the sink is planned for today.,Personal
Doctor appointment,Medium,Doctor appointment is planned for today.,Health
Complete financial analysis,Medium,Complete financial analysis is planned for today.,Work
Attend conference call,High,Attend conference call is planned for today.,Work
Attend conference call,Medium,Attend conference call is planned for today.,Work
Plan a weekend getaway,Low,Plan a weekend getaway is planned for today.,Personal
Get flu shot,Medium,Get flu shot is planned for today.,Health
Workout session,Low,Workout session is planned for today.,Personal
Consult with a specialist,Medium,Consult with a specialist is planned for today.,Health
Plan a vacation,Low,Plan a vacation is planned for today.,Personal
Organize the home office,Low,Organize the home office is planned for today.,Personal
Reply to client emails,Medium,Reply to client emails is planned for today.,Work
Prepare presentation slides for the meeting,Medium,Prepare presentation slides for the meeting is planned for today.,Work
Get flu shot,Medium,Get flu shot is planned for today.,Health
Medicine refill,Medium,Medicine refill is planned for today.,Health
Conduct performance review,Medium,Conduct performance review is planned for today.,Work
Attend conference call,Medium,Attend conference call is planned for today.,Work
Organize the home office,Low,Organize the home office is planned for today.,Personal
Prepare presentation slides for the meeting,Medium,Prepare presentation slides for the meeting is planned for today.,Work
Eye test appointment,Medium,Eye test appointment is planned for today.,Health
Conduct performance review,Medium,Conduct performance review is planned for today.,Work
Mental health therapy,Medium,Mental health therapy is planned for today.,Health
Fix the sink,Low,Fix the sink is planned for today.,Personal
Take vitamins,Medium,Take vitamins is planned for today.,Health
Submit project report,High,Submit project report is planned for today.,Work
Organize the home office,Low,Organize the home office is planned for today.,Personal
Read a new book,Low,Read a new book is planned for today.,Personal
Workout session,Low,Workout session is planned for today.,Personal
Take vitamins,Medium,Take vitamins is planned for today.,Health
Prepare presentation slides for the meeting,Medium,Prepare presentation slides for the meeting is planned for today.,Work
Eye test appointment,Medium,Eye test appointment is planned for today.,Health
Consult with a specialist,Medium,Consult with a specialist is planned for today.,Health
Mental health therapy,Medium,Mental health therapy is planned for today.,Health
Eye test appointment,Medium,Eye test appointment is planned for today.,Health
Submit project report,High,Submit project report is planned for today.,Work
Dental check-up,Medium,Dental check-up is planned for today.,Health
Plan a vacation,Low,Plan a vacation is planned for today.,Personal
Update project documentation,Medium,Update project documentation is planned for today.,Work
Dental check-up,Medium,Dental check-up is planned for today.,Health
Call family to check in,Low,Call family to check in is planned for today.,Personal
Watch a movie,Low,Watch a movie is planned for today.,Personal
Reply to client emails,High,Reply to client emails is planned for today.,Work
Reply to client emails,High,Reply to client emails is planned for today.,Work
Watch a movie,Low,Watch a movie is planned for today.,Personal
Mental health therapy,Medium,Mental health therapy is planned for today.,Health
Eye test appointment,Medium,Eye test appointment is planned for today.,Health
Prepare presentation slides for the meeting,Medium,Prepare presentation slides for the meeting is planned for today.,Work
Medicine refill,Medium,Medicine refill is planned for today.,Health
Submit project report,Medium,Submit project report is planned for today.,Work
Visit physical therapist,Medium,Visit physical therapist is planned for today.,Health
Draft business proposal,Medium,Draft business proposal is planned for today.,Work
Doctor appointment,Medium,Doctor appointment is planned for today.,Health
Prepare presentation slides for the meeting,High,Prepare presentation slides for the meeting is planned for today.,Work
Attend conference call,High,Attend conference call is planned for today.,Work
