text,priority,description,category
Clean the house,Medium,Fix critical bugs in the system,Work
Workout session,Medium,Call family to check in,Personal
Doctor appointment,Medium,Prepare presentation slides for the meeting,Work
Finish project report,Medium,Plan a weekend getaway,Personal
Fix the sink,Medium,Organize the home office,Personal
Clean the house,Medium,Gym session for strength training,Health
Fix the sink,Medium,Complete end-of-quarter financial report,Work
Workout session,Medium,Send project status update to stakeholders,Work
Call family,High,Conduct performance reviews,Work
Finish project report,High,Go for a run in the park,Health
Organize files,High,Send project status update to stakeholders,Work
Client follow-up,Medium,Schedule a dinner with friends,Personal
Organize files,Medium,Send project status update to stakeholders,Work
Clean the house,Medium,Organize the home office,Personal
Doctor appointment,Medium,Plan a weekend getaway,Personal
Write blog post,Medium,Go for a run in the park,Health
Organize files,Medium,Prepare presentation slides for the meeting,Work
Review pull requests,High,Gym session for strength training,Health
Update website,High,Conduct performance reviews,Work
Doctor appointment,Medium,Buy groceries for the week,Personal
Schedule team meeting,Medium,Gym session for strength training,Health
Client follow-up,Medium,Send project status update to stakeholders,Work
Clean the house,Medium,Buy groceries for the week,Personal
Client follow-up,Medium,Doctor appointment for annual checkup,Health
Update website,Medium,Conduct performance reviews,Work
Update website,Medium,Send project status update to stakeholders,Work
Workout session,Medium,Conduct performance reviews,Work
Doctor appointment,Low,Meditation and relaxation session,Health
Client follow-up,Low,Doctor appointment for annual checkup,Health
Update website,Medium,Plan a weekend getaway,Personal
Plan vacation,Low,Go for a run in the park,Health
Plan vacation,Medium,Conduct performance reviews,Work
Buy groceries,High,Meditation and relaxation session,Health
Schedule team meeting,Low,Gym session for strength training,Health
Organize files,Medium,Send project status update to stakeholders,Work
Client follow-up,Medium,Plan a weekend getaway,Personal
Doctor appointment,Medium,Call family to check in,Personal
Schedule team meeting,High,Doctor appointment for annual checkup,Health
Buy groceries,Medium,Conduct performance reviews,Work
Finish project report,Medium,Organize the home office,Personal
Write blog post,Low,Meditation and relaxation session,Health
Workout session,Medium,Conduct performance reviews,Work
Plan vacation,High,Meditation and relaxation session,Health
Fix the sink,Medium,Plan a weekend getaway,Personal
Review pull requests,Low,Meditation and relaxation session,Health
Clean the house,Low,Gym session for strength training,Health
Schedule team meeting,High,Gym session for strength training,Health
Schedule team meeting,Medium,Meditation and relaxation session,Health
Clean the house,Medium,Schedule dentist appointment,Health
Plan vacation,Medium,Complete end-of-quarter financial report,Work
Plan vacation,High,Prepare presentation slides for the meeting,Work
